ticker,year,address,city,coname,cusip,exchange,gvkey,inddesc,naics,naicsdesc,sic,sicdesc,spcode,spindex,state,sub_tele,tele,zip,execid,exec_fname,exec_fullname,exec_lname,exec_mname,gender,nameprefix,page,becameceo,co_per_rol,execrank,joined_co,leftco,leftofc,pceo,pcfo,reason,rejoin,releft,title,age,allothpd,allothtot,bonus,ceoann,cfoann,chg_ctrl_pymt,comment,defer_balance_tot,defer_contrib_co_tot,defer_contrib_exec_tot,defer_earnings_tot,defer_rpt_as_comp_tot,defer_withdr_tot,eip_unearn_num,eip_unearn_val,execdir,execrankann,interlock,ltip,noneq_incent,old_datafmt_flag,option_awards,option_awards_blk_value,option_awards_fv,option_awards_num,option_awards_rpt_value,opt_exer_num,opt_exer_val,opt_unex_exer_est_val,opt_unex_exer_num,opt_unex_unexer_est_val,opt_unex_unexer_num,othann,othcomp,pension_chg,pension_pymts_tot,pension_value_tot,reprice,ret_yrs,rstkgrnt,rstkvyrs,salary,sal_pct,shrown_excl_opts,shrown_excl_opts_pct,shrown_tot,shrown_tot_pct,shrs_vest_num,shrs_vest_val,stock_awards,stock_awards_fv,stock_unvest_num,stock_unvest_val,tdc1,tdc1_pct,tdc2,tdc2_pct,term_pymt,titleann,total_alt1,total_alt1_pct,total_alt2,total_alt2_pct,total_curr,total_curr_pct,total_sec,total_sec_pct
AAPL,2018,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,43646,Jeffrey,Jeffrey E. Williams,Williams,E.,MALE,Mr.,60,,46414,,,,,,,,,,Chief Operating Officer,54,,,0,,,0,,0,0,0,0,0,0,194.803,43974.829,0,2,0,,4000,0,0,,0,0,,0,0,0,0,0,0,,51.818,0,0,0,0,,,,1000,,108.085,0.002,108.085,0.002,255.611,42991.299,21491.888,21491.888,261.881,59117.017,26543.706,,26543.706,,0,Chief Operating Officer,26543.706,,48043.117,,1000,,26543.706,
AAPL,2019,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,43646,Jeffrey,Jeffrey E. Williams,Williams,E.,MALE,Mr.,60,,46414,,,,,,,,,,Chief Operating Officer,55,,,0,,,0,,0,0,0,0,0,0,173.838,38039.231,0,2,0,,2557,0,0,,0,0,,0,0,0,0,0,0,,17.503,0,0,0,0,,,,1000,0,122.195,0.003,122.195,0.003,235.928,51715.96,21633.416,21633.416,200.78,43934.68,25207.919,-5.032,25207.919,-5.032,0,Chief Operating Officer,25207.919,-5.032,55290.463,15.085,1000,0,25207.919,-5.032
AAPL,2020,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,43646,Jeffrey,Jeffrey E. Williams,Williams,E.,MALE,Mr.,60,,46414,,,,,,,,,,Chief Operating Officer,56,,,0,,,0,,0,0,0,0,0,0,619.536,69561.502,0,2,0,,3577,0,0,,0,0,,0,0,0,0,0,0,,17.137,0,0,0,0,,,,1000,0,489.26,0.003,489.26,0.003,859.944,51587.355,21657.687,21657.687,643.208,72219.394,26251.824,4.141,26251.824,4.141,0,Chief Operating Officer,26251.824,4.141,56181.492,1.612,1000,0,26251.824,4.141
AAPL,2021,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,43646,Jeffrey,Jeffrey E. Williams,Williams,E.,MALE,Mr.,60,,46414,,,,,,,,,,Chief Operating Officer,57,,,0,,,0,,0,0,0,0,0,0,449.06,65975.895,0,2,0,,4000,0,0,,0,0,,0,0,0,0,0,0,,17.437,0,0,0,0,,,,1000,0,489.49,0.003,489.49,0.003,776.428,94138.065,21959.62,21959.62,474.924,69775.834,26977.057,2.763,26977.057,2.763,0,Chief Operating Officer,26977.057,2.763,99155.502,76.491,1000,0,26977.057,2.763
AAPL,2022,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,43646,Jeffrey,Jeffrey E. Williams,Williams,E.,MALE,Mr.,60,,46414,,,,,,,,,,Chief Operating Officer,58,,,0,,,0,,0,0,0,0,0,0,339.929,51135.52,0,2,0,,4000,0,0,,0,0,,0,0,0,0,0,0,,18.337,0,0,0,0,,,,1000,0,677.392,0.004,677.392,0.004,559.324,87717.519,22132.015,22132.016,338.057,50853.916,27150.353,0.642,27150.353,0.642,0,Chief Operating Officer,27150.353,0.642,92735.856,-6.474,1000,0,27150.352,0.642
AAPL,2023,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,43646,Jeffrey,Jeffrey E. Williams,Williams,E.,MALE,Mr.,60,,46414,,,,,,,,,,Chief Operating Officer,59,,,0,,,0,,0,0,0,0,0,0,223.606,38283.583,0,2,0,,3571.15,0,0,,0,0,,0,0,0,0,0,0,,66.435,0,0,0,0,,,,1000,0,489.817,0.003,489.817,0.003,515.284,76609.76,22323.641,22323.641,254.85,43632.869,26961.226,-0.697,26961.226,-0.697,0,Chief Operating Officer,26961.226,-0.697,81247.345,-12.388,1000,0,26961.226,-0.697
AAPL,2021,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,42705,Luca,Luca Maestri,Maestri,,MALE,Mr.,61,,49823,,,,,,CFO,,,,CFO & Senior VP,58,,,0,,CFO,0,,0,0,0,0,0,0,449.06,65975.895,0,4,0,,4000,0,0,,0,0,,0,0,0,0,0,0,,18.883,0,0,0,0,,,,1000,0,110.501,0.001,110.501,0.001,776.428,94138.065,21959.62,21959.62,474.924,69775.834,26978.503,2.762,26978.503,2.762,0,CFO & Senior VP,26978.503,2.762,99156.948,76.489,1000,0,26978.503,2.762
AAPL,2022,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,42705,Luca,Luca Maestri,Maestri,,MALE,Mr.,61,,49823,,,,,,CFO,,,,CFO & Senior VP,59,,,0,,CFO,0,,0,0,0,0,0,0,339.929,51135.52,0,4,0,,4000,0,0,,0,0,,0,0,0,0,0,0,,19.783,0,0,0,0,,,,1000,0,110.673,0.001,110.673,0.001,559.324,87717.519,22132.015,22132.016,338.057,50853.916,27151.799,0.642,27151.799,0.642,0,CFO & Senior VP,27151.799,0.642,92737.302,-6.474,1000,0,27151.798,0.642
AAPL,2023,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,42705,Luca,Luca Maestri,Maestri,,MALE,Mr.,61,,49823,,,,,,CFO,,,,CFO & Senior VP,60,,,0,,CFO,0,,0,0,0,0,0,0,223.606,38283.583,0,4,0,,3571.15,0,0,,0,0,,0,0,0,0,0,0,,41.092,0,0,0,0,,,,1000,0,107.661,0.001,107.661,0.001,515.284,76609.76,22323.641,22323.641,254.85,43632.869,26935.883,-0.795,26935.883,-0.795,0,CFO & Senior VP,26935.883,-0.795,81222.002,-12.417,1000,0,26935.883,-0.795
AAPL,2017,One Apple Park Way,Cupertino,APPLE INC,03783310,NAS,001690,"Technology Hardware, Storage & Peripherals",334220,Radio and Television Broadcasting and Wireless Com,3663,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIO,SP,4520,CA,,(408) 996-1010,95014,51951,Johny,Johny Srouji,Srouji,,MALE,Mr.,59,,55838,,,,,,,,,,Senior Vice President of Hardware Technologies,52,,,0,,,0,,0,0,0,0,0,0,64.654,9964.474,0,2,0,,3109,0,0,,0,0,,0,0,0,0,0,0,,34.048,0,0,0,0,,,,1019.231,,78.468,0.002,78.468,0.002,76.78,10221.154,20000.113,20000.113,182.8,28173.137,24162.392,,24162.392,,0,Senior Vice President of Hardware Technologies,24162.392,,14383.433,,1019.231,,24162.392,
